jurisdiction,district_number,district_name,total_party_votes,total_votes,fptp_winner,fptp_party,fptp_is_independent,rpv_winner,result_change,rpv_party
British Columbia,59003,Burnaby South,40312,40608,"Singh, Jagmeet",NDP-New Democratic Party,False,"Singh, Jagmeet",False,NDP-New Democratic Party
British Columbia,59039,Vancouver Quadra,47705,47705,"Murray, Joyce",Liberal,False,"Murray, Joyce",False,Liberal
British Columbia,59022,Pitt Meadows–Maple Ridge,52380,52833,"Dalton, Marc",Conservative,False,"Klapwyk, Phil",True,NDP-New Democratic Party
British Columbia,59018,Nanaimo–Ladysmith,68765,68765,"Barron, Lisa Marie",NDP-New Democratic Party,False,"Manly, Paul",True,Green Party
British Columbia,59020,North Okanagan–Shuswap,72397,72397,"Arnold, Mel",Conservative,False,"Arnold, Mel",False,Conservative
Nunavut,62001,Nunavut,7189,7189,"Idlout, Lori",NDP-New Democratic Party,False,"Idlout, Lori",False,NDP-New Democratic Party
Northwest Territories,61001,Northwest Territories,12304,14095,"McLeod, Michael",Liberal,False,"Kotchilea, Kelvin",True,NDP-New Democratic Party
British Columbia,59025,Richmond Centre,34161,34161,"Miao, Wilson",Liberal,False,"Wong, Alice",True,Conservative
British Columbia,59032,Surrey Centre,38386,38386,"Sarai, Randeep",Liberal,False,"Andhi, Sonia",True,NDP-New Democratic Party
British Columbia,59009,Courtenay–Alberni,69250,69250,"Johns, Gord",NDP-New Democratic Party,False,"Johns, Gord",False,NDP-New Democratic Party
British Columbia,59029,South Okanagan–West Kootenay,66780,66780,"Cannings, Richard",NDP-New Democratic Party,False,"Cannings, Richard",False,NDP-New Democratic Party
British Columbia,59027,Saanich–Gulf Islands,65522,65522,"May, Elizabeth",Green Party,False,"May, Elizabeth",False,Green Party
British Columbia,59042,West Vancouver–Sunshine Coast–Sea to Sky Country,63332,63459,"Weiler, Patrick",Liberal,False,"Weston, John",True,Conservative
British Columbia,59001,Abbotsford,45050,45050,"Fast, Ed",Conservative,False,"Fast, Ed",False,Conservative
